year,month,spx_tr_real,y10_bm_real
1915,6,0.01561041804,0.0002080455185
1915,7,0.0004282251394,-0.008828876614
1915,8,0.0466513702,0.01329652883
1915,9,0.04115339642,-0.00376062954
1915,10,0.04892056682,-0.01018100401
1915,11,0.02858374343,-0.00329427716
1915,12,0.005722026886,0.01102998095
1916,1,-0.02164708855,-0.008899592237
1916,2,-0.0102031906,0.01322243815
1916,3,-0.008516568837,-0.002125389847
1916,4,-0.01599056451,-0.008699808628
1916,5,0.01680199758,-0.004171767381
1916,6,0.004911022484,-0.01459086678
1916,7,-0.009278708656,-0.00320739025
1916,8,0.003015766921,-0.003935025291
1916,9,0.02679057511,-0.01285433109
1916,10,0.01728460948,-0.01474594564
1916,11,0.00966022007,-0.01996217691
1916,12,-0.04388729686,-0.001121624856
1917,1,-0.02770980964,-0.01004466623
1917,2,-0.07398024933,-0.01705504503
1917,3,0.0366437289,-0.01901914253
1917,4,-0.05673418778,-0.04798119008
1917,5,-0.04342595004,-0.03194604437
1917,6,0.01054618482,-0.02042621016
1917,7,-0.006363943249,0.02005031812
1917,8,-0.03851307384,-0.01342579977
1917,9,-0.06338897154,-0.009552651974
1917,10,-0.06169214502,-0.01696746303
1917,11,-0.07640486183,0.00315967396
1917,12,-0.04081536186,-0.02314492231
1918,1,0.05663893455,-0.01597330071
1918,2,0.02026534041,0.0008447243467
1918,3,-0.02471024293,0.01285810421
1918,4,0.00539838481,-0.0098716066
1918,5,0.001542461659,-0.01702392552
1918,6,0.01483003383,-0.0005862961299
1918,7,-0.02640288854,-0.02224915875
1918,8,0.008390011254,-0.01531630135
1918,9,-0.02967007825,-0.01834362157
1918,10,0.03802363774,-0.01908938254
1918,11,-0.02732757178,-0.01013784822
1918,12,0.008756354436,-0.02467181164
1919,1,-0.01043320373,0.00317367412
1919,2,0.05859441541,0.01691330187
1919,3,-0.001159767953,-0.01062865176
1919,4,0.03871437891,-0.01332919686
1919,5,0.0737347405,-0.004095437863
1919,6,-0.02383689567,0.002336299158
1919,7,0.03565709848,-0.02720387737
1919,8,-0.08949126349,-0.01765740425
1919,9,0.01879380739,0.002215654793
1919,10,0.06285420325,-0.01116717561
1919,11,-0.07513339586,-0.02535696267
1919,12,-0.0207044411,-0.02405409306
1920,1,-0.04457107136,-0.01900201947
1920,2,-0.07886050492,-0.01534582473
1920,3,0.0923824016,-0.00904454722
1920,4,-0.09574284093,-0.03957203471
1920,5,-0.04908786352,-0.03270153672
1920,6,-0.01810208878,-0.006740480474
1920,7,-0.01400910372,0.007135637754
1920,8,0.048548078,0.02156064079
1920,9,0.015,0.03866878758
1920,10,0.02265364886,0.03707363259
1920,11,-0.07084714608,-0.0007383516415
1920,12,-0.03329963373,0.01021563722
1921,1,0.06942931434,0.03911001385
1921,2,0.0298527202,0.03313495771
1921,3,-0.01250972993,0.01066416832
1921,4,0.03928590317,0.01783186086
1921,5,0.008961441966,0.02627561535
1921,6,-0.06302228669,0.008531810471
1921,7,0.02744321462,-0.0005158337379
1921,8,-0.01428705647,0.007473958207
1921,9,0.04474554106,0.02366978698
1921,10,0.02857341765,0.02698825586
1921,11,0.07587158242,0.02476600402
1921,12,0.02712333452,0.02309227993
1922,1,0.03730004108,0.02908188977
1922,2,0.03557042214,-0.0002493889891
1922,3,0.05000733861,0.02302296136
1922,4,0.06178161686,0.0140597003
1922,5,0.05566771873,0.005159162176
1922,6,-0.03755530274,0.005142820013
1922,7,0.01127271225,0.005509616057
1922,8,0.08864878677,0.01715462665
1922,9,-0.009996567306,-0.002129465041
1922,10,0.02193104031,-0.01118119117
1922,11,-0.05025407786,-0.004758505244
1922,12,0.01632262792,-0.001539649775
1923,1,0.01149650039,0.009573800011
1923,2,0.06939024147,0.002805470615
1923,3,-0.009777620864,-0.0003565669975
1923,4,-0.02828094177,-0.003077961681
1923,5,-0.03604439038,0.005248158398
1923,6,-0.07827227551,0.0001103658016
1923,7,0.01227216205,-0.008053326208
1923,8,0.02688369087,0.008686900198
1923,9,-0.03188696398,-0.002999782302
1923,10,-0.003566303947,-0.005321664337
1923,11,0.06103771116,0.00605221556
1923,12,0.03424532324,0.005231868898
1924,1,0.03464980403,0.007607513688
1924,2,-0.01053372859,0.01104611635
1924,3,-0.01622122857,0.00943553251
1924,4,0.002558908064,0.01354727357
1924,5,0.01059711253,0.01002454455
1924,6,0.04099176709,0.01734526241
1924,7,0.04282277043,0.0006852526841
1924,8,0.01569495825,0.01164091391
1924,9,0.00001860835886,-0.003416556341
1924,10,-0.01001386505,0.001484215862
1924,11,0.07379385074,0.0007881523785
1924,12,0.05097254058,-0.00738567495
1925,1,0.02462486996,0.003300021646
1925,2,0.01895026742,0.009950630625
1925,3,-0.06767117863,-0.003315186773
1925,4,0.04124586392,0.0115881501
1925,5,0.04996052307,0.002338025072
1925,6,-0.002950708661,-0.0017824013
1925,7,0.02842442489,-0.008176793474
1925,8,0.007308199494,-0.001713789616
1925,9,0.03039733662,0.003208322578
1925,10,0.06139360773,0.005652843428
1925,11,-0.01557899467,-0.0111315631
1925,12,0.05801589471,0.007944080516
1926,1,0.002309840629,0.005612536209
1926,2,-0.04024337402,0.00808532287
1926,3,-0.04990082082,0.008726935366
1926,4,0.01875822047,-0.001694078421
1926,5,0.02034329636,0.01120307272
1926,6,0.05346607541,0.008725306997
1926,7,0.03463802167,0.01369018178
1926,8,0.05411926339,0.007178471951
1926,9,0.0212763609,-0.0026485797
1926,10,-0.03271346729,-0.0009791263353
1926,11,0.02089502833,0.002321256585
1926,12,0.02097543619,0.007970269493
1927,1,-0.005330672791,0.01860566803
1927,2,0.05813790939,0.01120185424
1927,3,0.01648821682,0.0179508911
1927,4,0.02135727656,0.004476275633
1927,5,0.05030808786,0.0003492751251
1927,6,-0.01681892295,-0.01110601022
1927,7,0.08769027285,0.01847831881
1927,8,0.05452208255,0.01198927505
1927,9,0.02996878125,-0.001370363319
1927,10,-0.04508526739,-0.002183352494
1927,11,0.07775141145,0.01358565185
1927,12,0.02265124617,0.007714343922
1928,1,-0.001638956004,0.001806751969
1928,2,-0.002609452257,0.01353235547
1928,3,0.1121482393,0.004330129681
1928,4,0.03576518907,0.0001393902193
1928,5,0.009916835585,-0.006477016703
1928,6,-0.03172013273,0.004376711153
1928,7,0.01588156032,-0.008032711975
1928,8,0.07759415238,-0.002131340656
1928,9,0.01525771176,-0.007047919745
1928,10,0.02355085554,0.007877434155
1928,11,0.1231366493,0.01041321709
1928,12,0.01167320851,0.002835442696
1929,1,0.05989429289,-0.002931401317
1929,2,-0.003143237625,-0.005341910784
1929,3,0.006208287287,-0.001049319755
1929,4,0.02484836063,0.01743319269
1929,5,-0.04584448353,-0.002866842557
1929,6,0.1088540552,-0.006949347971
1929,7,0.03616653999,-0.004410779439
1929,8,0.1006634605,-0.002758684069
1929,9,-0.04658192678,0.003921596629
1929,10,-0.1970885824,0.01058206762
1929,11,-0.1305855969,0.02487684412
1929,12,0.03503433527,0.007784079564
1930,1,0.07274246391,0.002817170404
1930,2,0.03099469024,0.01043394138
1930,3,0.08936563008,0.01888616932
1930,4,-0.01235059653,-0.00976412213
1930,5,-0.00711457748,0.01378530412
1930,6,-0.1565247628,0.01377454267
1930,7,0.05266641065,0.01478916538
1930,8,0.01750936567,0.00794618925
1930,9,-0.1324230723,-0.001663529099
1930,10,-0.07941994183,0.01129954156
1930,11,-0.01113856252,0.01047050443
1930,12,-0.05280947361,0.01879308413
1931,1,0.06722500878,0.01698789433
1931,2,0.1331094518,0.007024007496
1931,3,-0.05981703315,0.01169937734
1931,4,-0.08610286797,0.01003422082
1931,5,-0.1214228461,0.02431784825
1931,6,0.1598371957,0.01845642723
1931,7,-0.07061512648,0.0009384482196
1931,8,0.01477731579,0.0001220177966
1931,9,-0.2915775236,0.003468716262
1931,10,0.0980939041,-0.0219038084
1931,11,-0.08070830242,0.01667158725
1931,12,-0.133048044,-0.01482557248
1932,1,-0.002697530441,-0.003104055794
1932,2,0.07458541835,0.03040229522
1932,3,-0.1069283712,0.02652642109
1932,4,-0.1917600442,0.03071280616
1932,5,-0.2161440649,0.01100069528
1932,6,0.00685193041,0.01050931376
1932,7,0.3850717665,0.01818450328
1932,8,0.3928478155,0.02136316024
1932,9,-0.02483227247,0.01287827161
1932,10,-0.1296872968,0.00955177181
1932,11,-0.04608554943,0.008779722858
1932,12,0.06524281524,0.01895783338
1933,1,0.02776020277,0.02941038528
1933,2,-0.1680531223,0.0108753826
1933,3,0.04682312828,0.001521061403
1933,4,0.4289328431,0.002850050096
1933,5,0.1645828216,0.01289983323
1933,6,0.126015502,0.002333128601
1933,7,-0.1144358473,-0.02713127479
1933,8,0.1096842562,-0.005757561533
1933,9,-0.1112132872,0.004346395544
1933,10,-0.08707822319,0.0001566908673
1933,11,0.1071964514,-0.01712030208
1933,12,0.02477333416,-0.002922245578
1934,1,0.1092350524,0.007108850155
1934,2,-0.04177395211,0.01203481545
1934,3,0.002875004624,0.01364579506
1934,4,-0.02419375588,0.007652976644
1934,5,-0.07895758247,0.008448267649
1934,6,0.01646554884,-0.000801187962
1934,7,-0.1126873437,0.004991114738
1934,8,0.05731914578,-0.006716746051
1934,9,-0.01534484278,-0.02691044403
1934,10,-0.02266885469,0.02538752713
1934,11,0.08813277839,0.00254171514
1934,12,0.00558460959,0.01509529984
1935,1,-0.05192935935,0.00105163232
1935,2,-0.04370923384,0.0001433309773
1935,3,-0.02812494016,0.002308337967
1935,4,0.09262996713,-0.001554470331
1935,5,0.03594976706,0.003130459448
1935,6,0.07855506489,0.0104441923
1935,7,0.08697620576,0.003970423677
1935,8,0.02490305695,-0.01049561852
1935,9,0.02660139235,-0.0001911813372
1935,10,0.07946669422,0.005812683291
1935,11,0.03397847294,-0.005752552419
1935,12,0.04096633581,0.004076168985
1936,1,0.06870270155,0.004059789707
1936,2,0.01962554914,0.007474149461
1936,3,0.03544874438,0.01391560454
1936,4,-0.07457112344,0.003954188644
1936,5,0.04908042952,0.003937873194
1936,6,0.02631562111,-0.006751653166
1936,7,0.06447242714,-0.004135376317
1936,8,0.003924071366,0.001025697668
1936,9,0.00475670448,-0.0004071901624
1936,10,0.07927306131,0.001327699959
1936,11,0.007146962413,0.01252459855
1936,12,-0.002362158608,0.001234878796
1937,1,0.03437624987,-0.0007413272319
1937,2,0.01834108058,0.002932521277
1937,3,-0.0132816202,-0.02727925588
1937,4,-0.08545611686,-0.01077817287
1937,5,-0.01337007112,-0.001170199953
1937,6,-0.04836865261,0.0005512945095
1937,7,0.09873811547,0.003214468022
1937,8,-0.05111644136,-0.0055776853
1937,9,-0.1439727107,-0.002825221402
1937,10,-0.09670541708,0.002291688483
1937,11,-0.09021661465,0.0144821685
1937,12,-0.03838969265,0.01007978738
1938,1,0.03487754397,0.01811909265
1938,2,0.07490160498,0.01284407106
1938,3,-0.2450971991,0.0004403878226
1938,4,0.1399000741,0.002970883752
1938,5,-0.03097421906,0.01275602243
1938,6,0.2539362287,0.0003466127734
1938,7,0.07664457321,0.002981974232
1938,8,-0.02300176874,0.003848223992
1938,9,0.02023465707,-0.004876805475
1938,10,0.08627459927,0.01902931862
1938,11,-0.02930207658,-0.00142980354
1938,12,0.04092494928,0.004715675394
1939,1,-0.06535361762,0.002066643098
1939,2,0.04372657518,0.01368641558
1939,3,-0.1323611248,0.009927329743
1939,4,0.005515930591,0.01540119957
1939,5,0.06632919168,0.01423622332
1939,6,-0.06025700015,-0.0008519752827
1939,7,0.1133484179,0.003555079136
1939,8,-0.06724969493,-0.009543023158
1939,9,0.1437238211,-0.05878281879
1939,10,-0.003479001048,0.02985367573
1939,11,-0.04504051039,0.01175120043
1939,12,0.02796955203,0.01078757828
1940,1,-0.02410657642,0.008243446144
1940,2,0.003405736073,-0.006100152429
1940,3,0.01470829894,0.01072855392
1940,4,-0.0007221787373,-0.003391156345
1940,5,-0.2352272863,-0.01458006965
1940,6,0.07560971931,0.008061922908
1940,7,0.04325634673,0.01528141354
1940,8,0.03112446959,0.003628432209
1940,9,0.01603294297,0.008894464091
1940,10,0.04419752885,0.007068040127
1940,11,-0.03700875721,0.0158913398
1940,12,-0.005408258414,-0.001121292482
1941,1,-0.04225466478,0.001566583533
1941,2,-0.00938386347,-0.006219532488
1941,3,0.002412816335,0.007317339755
1941,4,-0.06527934742,0.00187976292
1941,5,0.001864437296,-0.006161413831
1941,6,0.03843316568,-0.009937877349
1941,7,0.06090627537,0.01242578227
1941,8,-0.01624483472,-0.01810845994
1941,9,-0.01731389829,-0.01258330478
1941,10,-0.07435957693,-0.007082980245
1941,11,-0.04241604578,-0.008527064955
1941,12,-0.04534268829,-0.0216587322
1942,1,0.007401886371,-0.01015195034
1942,2,-0.03147202662,-0.01082644006
1942,3,-0.06604591612,-0.003653776526
1942,4,-0.04280842959,-0.009834246817
1942,5,0.05800750981,-0.007878649837
1942,6,0.02515185371,0.0008390199321
1942,7,0.03122109897,-0.007030119625
1942,8,0.00690334933,-0.004304628984
1942,9,0.0326797465,0.000872701224
1942,10,0.05714548173,-0.009338277158
1942,11,-0.01448309742,-0.005972599912
1942,12,0.05070769131,-0.001473582884
1943,1,0.07668467093,0.005343425006
1943,2,0.05531353527,0.0008306579602
1943,3,0.03875320873,-0.01749529656
1943,4,-0.006444078172,-0.007994026111
1943,5,0.04311177576,0.000468474255
1943,6,0.02388062679,0.002587317699
1943,7,-0.04474147357,0.005641071273
1943,8,0.02041529138,0.005691426762
1943,9,0.02206086709,-0.004040328526
1943,10,-0.009034871314,-0.00007143452278
1943,11,-0.07123526996,-0.0009468962663
1943,12,0.06359905358,0.0008643256331
1944,1,0.01984974715,0.001766671959
1944,2,0.001832267916,0.005351406093
1944,3,0.0212932283,0.001733371917
1944,4,-0.0137773621,-0.004880099804
1944,5,0.04485993237,0.001741711868
1944,6,0.04926418432,-0.004839205897
1944,7,-0.02224398482,-0.003909636105
1944,8,0.01284892554,0.004437761386
1944,9,0.001041849194,0.000830647139
1944,10,0.004174972798,0.0008390331348
1944,11,0.008086952299,0.001741645323
1944,12,0.03339325053,-0.004775305478
1945,1,0.01838978742,0.01436206645
1945,2,0.06564371032,0.007024313211
1945,3,-0.04236230487,0.006076132427
1945,4,0.09194765947,0.01236752064
1945,5,0.009434198501,-0.004152976271
1945,6,-0.01077921998,-0.005173503396
1945,7,-0.01637868271,-0.001290624762
1945,8,0.06173673828,0.003222721117
1945,9,0.04545092774,0.00410683636
1945,10,0.03372186222,0.006789927367
1945,11,0.03573620253,0.005839158499
1945,12,0.007521032634,-0.01487851742
1946,1,0.07296305821,0.006797772258
1946,2,-0.06125367043,0.008683323737
1946,3,0.03810392784,-0.007838308113
1946,4,0.03508454165,-0.01744750333
1946,5,0.01986982864,-0.004872442903
1946,6,-0.04645701923,-0.00660033542
1946,7,-0.07671097396,-0.05760344896
1946,8,-0.08815272341,-0.02364444946
1946,9,-0.1067556953,-0.01274949654
1946,10,-0.02278043185,-0.01595795148
1946,11,-0.0311831179,-0.02896394353
1946,12,0.0372173783,0.0003016056003
1947,1,0.02792014119,0.006047770005
